,Sentence,Label
0,"The Cardiff Roller Collective (CRoC) are a roller sports league based in Cardiff, Wales. Founded",11
1,"""Go! Pack Go!"" is the fight song of the Green Bay Packers, and the first",11
2,Al-Machriq (English translation: The East) was a journal founded in 1898 by Jesuit and Chaldean,14
3,Ajman International Airport (Arabic: مطار عجمان الدولي) was an upcoming airport which is currently a,0
4,Kapla is a construction set for children and adults. The sets consist only of identical,4
5,Akmal Ikramovich Ikramov (Russia: Акмаль Икрамович Икрамов; Uzbek: Akmal Ikromovich Ikromov; 1898 – 13 March,10
6,The Alabama Gang was the nickname for a group of NASCAR drivers (and subsequently their,12
7,"Lori Lemaris is a fictional mermaid in DC Comics, and a romantic interest for Superman.",6
8,"Pasties (singular pasty or pastie) are patches that cover a person's nipples and areolae, typically",8
9,"Shinto (Japanese: 神道, romanized: Shintō) is a religion which originated in Japan. Classified as an",8
10,"Akaflieg is an abbreviation for Akademische Fliegergruppe, groups of aeronautical engineering students from individual German",13
11,The Akshar Deri is a major site of pilgrimage in the Swaminarayan Sampradaya and is,9
12,"Stephen Nathaniel Frick (born September 30, 1964) is an American astronaut and a veteran of",2
13,Al-Quds College in Jordan was established in 1983 and is part of Luminus Education Group.,14
14,The University of the Philippines Fighting Maroons is the official women's volleyball team of the,11
15,A list of the Famous Studios theatrical cartoons featuring Casper the Friendly Ghost. == Filmography,6
16,"Caste systems in Africa are a form of social stratification found in numerous ethnic groups,",5
17,The Monteverde Angel or Angel of the Resurrection (Italian Angelo di Monteverde and Angelo della,9
18,Olga Krishtop (Russian: Ольга Криштоп; born 8 October 1957) is a race walker who represented,12
19,"The aish tamid (Hebrew: אֵשׁ תָּמִיד, continuous fire) is the eternal flame that was to",9
20,"Merlin (Welsh: Myrddin, Cornish: Marzhin, Breton: Merzhin) is a mythical figure prominently featured in the",4
21,Smiřice (Czech pronunciation: [ˈsmɪr̝ɪtsɛ]; German: Smirschitz) is a town in Hradec Králové District in the,5
22,Židlochovice (Czech pronunciation: [ˈʒɪdloxovɪtsɛ]; German: Groß Seelowitz) is a town in Brno-Country District in the,5
23,"Katterbach Kaserne is a United States Army facility in Germany, located in the village of",0
24,NGC 4314 is a barred spiral galaxy approximately 53 million light-years away in the northern,3
25,"The Crab Nebula (catalogue designations M1, NGC 1952, Taurus A) is a supernova remnant and",3
26,"Josiah Kibira University College (JoKUCo) is a constituent college of Tumaini University Makumira in Bukoba,",14
27,Cannonball (Samuel Zachary Guthrie) is a fictional superhero appearing in American comic books published by,6
28,Natural burial is the interment of the body of a dead person in the soil,9
29,"Akira Ryō (梁 明, Ryō Akira) (born October 20, 1965) is a Japanese former professional",12
30,"Al Anwa Aviation is a charter airline based out of Riyadh, Saudi Arabia. As of",13
31,"John McCreary Fabian (born January 28, 1939) is a former NASA astronaut and Air Force",2
32,"Mänttä-Vilppula (Swedish: Mänttä-Vilppula, also Mänttä-Filpula) is a town and municipality of Finland. The municipalities of",5
33,"Aiwowo (Chinese: 艾窩窩; pinyin: àiwōwo) is a traditional dessert from Beijing, China. It is said",8
34,"William Hogarth (; 10 November 1697 – 26 October 1764) was an English painter, printmaker,",1
35,Al Jazeera Podcasts is a podcast network run by Al Jazeera Media Network (AJMN). The,7
36,An airway beacon (US) or aerial lighthouse (UK and Europe) was a rotating light assembly,13
37,"Joe Petagno (born January 1, 1948) is an American artist known principally for creating images",1
38,Al MacKenzie is a fictional character appearing in American comic books published by Marvel Comics.,6
39,Aisam-ul-Haq Qureshi is a professional tennis player who is the current Pakistani number one doubles,12
40,"Akabeko (赤べこ, Akabeko, red bull) is a legendary cow from the Aizu region of Japan,",4
41,"Buzz Aldrin (; born Edwin Eugene Aldrin Jr.; January 20, 1930) is an American former",2
42,Donald Pierce is a fictional supervillain appearing in American comic books published by Marvel Comics.,6
43,Al-Jamahir (in Arabic الجماهير meaning The Masses) was an Arabic language weekly newspaper and the,15
44,"Carniny Amateur & Youth FC is a junior-level football club from Ballymena, County Antrim, Northern",11
45,The Al-Qasemi Academic College of Education is an academic college located in the city of,14
46,"Alan Kurdi, named after the drowned Syrian child of Kurdish origin, Aylan Kurdi, is a",13
47,"Tracy Caldwell Dyson (born Tracy Ellen Caldwell; August 14, 1969) is an American chemist and",2
48,The Rocky Mountain Showdown is the name given to the Colorado–Colorado State football rivalry. It,11
49,The Fraction or fractio panis (Latin for 'breaking of the bread') is the ceremonial act,9
50,"Savonlinna (UK: , Finnish: [ˈsɑʋonˌlinːɑ], lit. 'Castle of Savonia'; Swedish: Nyslott, lit. 'New Castle') is",5
51,"Uran Butka (2 December 1938) is an Albanian writer, historian and politician. The son of",10
52,Spanish artist that was born in Alicante (Spain) on 24/09/1966. Founder and current director of,1
53,Al-Fazl ( Urdu الفضل) has been the most important regular publication of the Ahmadiyya Muslim,15
54,"Aladin is an interactive software sky atlas, created in France. It's allowing the user to",3
