,Sentence,Label
0,"The Cardiff Roller Collective (CRoC) are a roller sports league based in Cardiff, Wales.  Founded in 2010, the league has three roller derby, one roller hockey team, and an artistic skating group.
Founded in October 2010,  It initially had two teams, the Raiders of Roath Park and the Roathmantics; these were subsequently rearranged.  The Collective was also joined by the Bridgend Bombshells, which had been founded in 2009.  The Bombshells were based at the Bridgend Recreation Centre, in a town near Cardiff, although this was set for closure at the end of 2011.By late 2011, CRoC had launched roller hockey and artistic roller skating groups, and its membership exceeded seventy people.CRoC became members of the United Kingdom Roller Derby Association in May 2012.


== References ==
",11
1,"""Go! Pack Go!"" is the fight song of the Green Bay Packers, and the first for a professional American football team. It was written by Eric Karll, a commercial jingle writer in Milwaukee, and first played at a Packers football game by the Lumberjack Band in 1931.
The rights to ""Go! Pack Go!"" ]], who also recorded a version of the song.
In 1960, the NFL Marching Band recorded the song as part of the LP National Football League Marching Songs (issued on the RCA label LSP2292), complete with introduction by Bart Starr, then the Packers' quarterback.
A taped version of the song, recorded in 1992, is played at Lambeau Field immediately following the Packers' player introductions and after every time the Packers score an extra point.
In 2011, a CD of Go! Pack Go! was released by Madera Music and publisher Jeff Karll.  This is the first recorded version of the song containing the lyrics.
The line shouted by fans is ""Go Pack Go!""


== Original lyrics ==
The line ""On, you Green and Gold, to glory,"" was originally ""On, you Blue and Gold, to glory,"" reflecting the original team colors of the Green Bay Packers.


== References ==


== External links ==
Complete lyrics
Packers web site Lee Remmel history page
Link to 1960 recording, in MP3, Midi and RealPlayer formats
",11
2,"Al-Machriq (English translation: The East) was a journal founded in 1898 by Jesuit and Chaldean priest Louis Cheikhô, published by Jesuit fathers of Saint Joseph University in Beirut, Lebanon. The subtitle was Revue Catholique Orientale. Sciences, Lettres, Arts. It had run through 72 volumes by 1998.
Cheikho also edited Al Bashir, another Jesuit publication, along with Al Machriq.


== Bibliography ==
R.B. Campbell: The Arabic Journal `al-Machriq'... under the editorship of Père L. Cheikho, University of Michigan, Ann Arbor, 1972.


== References ==
",14
3,"Ajman International Airport (Arabic: مطار عجمان الدولي) was an upcoming airport which is currently a construction project in Ajman, the smallest emirate of the United Arab Emirates. Ajman is surrounded on its landlocked north, south and eastern borders by Sharjah. The airport is being constructed in the eastern district of Ajman, in the Al Manama enclave. This construction project is one worth $571 million which is forecasted to accommodate for 1 million passengers and a minimum of 400,000 tonnes of cargo when completed. It has an expected completion date of late 2020. This is set to enable more accessible travel to Ajman and encourages development on the surrounding area with plans to expand and open hotels, restaurants, commercial offices, residential units, retail, educational centres and exhibition halls. According to a feasibility study by ICTS Europe and Booz Allen Hamilton (BAH) new construction project is set to achieve more than 1 million passengers within the first three years of opening and operating.As of February 2021, construction has not started yet and the project is probably canceled or on hold.


== Location ==

Ajman International Airport will be located in the smallest emirate of the United Arab Emirates, Ajman. Ajman is landlocked in the north, south and eastern borders by Sharjah which is the current closest international airport to Ajman. The new airport facility is being constructed with an area of 60 million square feet, 60 km away from Ajman City, in the eastern district of Ajman, in the Al Manama enclave, linking Fujairah on the east coast and Sharjah on the west coast. The site is in a location in the heart of the Northern Emirates and connected by the existing road infrastructure to other emirates.
Currently, to engage in international travel, residents of Ajman must travel hours to Dubai and Sharjah to the nearest airport. This further applies to imports and export cargo. This construction project allows for the ease of import and exports of goods to and from Ajman and global destinations.As 90% of the population currently resides in the city, the Ajman International Airport will help facilitate a wider spread of the population within the emirate along the city and Al Manama enclave.


== History ==
The Government of Ajman granted White Lake Consortium (WLC) the initial sole concession to design, build and operate the upcoming airport. Other corporations involved in this construction project are ICTS Europe, Steel Law, Booz Allen Hamilton (BAH) and Fakhruddin Group, a United Arab Emirates based developer. In September 2014, the Crown Prince of Ajman, Prince Sheikh Ammar Bin Humaid Al Nuaimi provided final approval to Whitelake Consortium (WLC) to build and operate the proposed Ajman International Airport development plan which is approximately AED1.2 billion (US$570 million). The first phase of the construction project was set to build the initial terminal buildings for departures and arrivals, runways, a cargo complex, aviation school, maintenance workshops, free zone and a commercial zone. The new airport was to have capacity for 1 million passengers annually by 2018. This was to increase Ajman's tourism numbers within the emirate.In February 2015, the CEO of the Ajman International Airport, Rashido Omrani claimed the airport was still to be expected to be completed in 2018. This construction project was said to include extra space for a large MRO centre and a terminal with capacity even greater than 1 million passengers. Delays in the construction of the airport constantly occurring has led to the new completion date to be by 31 December 2020.The facilities of this airport have been designed, with a 4000-metre-long runway, to accept aircraft like the Airbus A380. To expand airport usage facilities to serve the needs of the air cargo and logistics, maintenance and executive aircraft operations will be created.


== Operations ==
The Ajman International Airport has operational guidelines based upon those of surrounding emirates. However, further intervention as well as experimentation once the airport begins operating is required due to the high amount of air traffic with limited air space in the United Arab Emirates.


=== Facilities ===
In these early stages of construction and opening, twenty-five airlines including Emirates, Etihad and Air Arabia have sent letters of intent for landing rights at this airport. To accommodate for employees of the airport as well as other investments in the airport area, multiple residential and commercial properties will be developed alongside this as the airport will be located 60 km outside the Ajman city. The Ajman International Airport has provoked further construction such as retailers and restaurants in the surrounding area which is able to accommodate to staff of the airport due to the airport's profound distance from the main city centre and residential units. This further accommodates to tourists on limited time layovers which in turn, boosts economic activity in the emirate.


=== Flight movements ===

Ajman International Airport, after its initial completion will begin with transporting cargo then with flying passengers to other emirates within the United Arab Emirates and will then further begin its international flights as the domestic flights run smoothly to alleviate any issues with the function and processes. After initial flights, this will further extend passenger flights internationally. However, as this construction project is not set to be a large international airport to the measure of that of other emirates in the United Arab Emirates, international flights will be limited to closer destinations and accommodate to layovers.


=== Regulation ===
The director of the Aviation Authority, Saif, Al Suwaidi stated that the approval for the operations of the airport in Ajman require evaluating the common airspace and agreements among the other airports operating in the other emirates of the United Arab Emirates including Dubai, Abu Dhabi, Sharjah, Ras Al Khaimah and Fujairah. The close proximity of these five airports poses major challenges for the establishment of the Ajman International airport due to the limited airspace. The Aviation Authority is in the process of holding meetings with all airports, more specifically, in the north of the United Arab Emirates such as Dubai, Sharjah and Ras Al Khaimah to continue achieving the highest level of safety for air traffic in the country. This will be further tested and implemented in the initial stages of opening and running the airport with beginning in low cost carrier (LCC) and cargo transportation as the primary use. Through testing and enforcing different regulations in cargo transportation, the airport will further begin to engage in other functions and processes, including passenger travel.


=== Security ===
Ajman International Airport, being part of the United Arab Emirates will follow after its neighbouring emirates such as Dubai and Abu Dhabi in terms of the security measures taken when entering the country. This further includes restrictions on fire, explosives, illicit substances and guns. This further extends to carry on luggage in terms of liquid, sharp objects and flammable item restrictions. Furthermore, similar to that of Abu Dhabi International Airport and Dubai International Airport, passengers engaging in layover flights will also have security measures with carry on luggage x-ray scanners and walk through metal detectors regardless of whether they will be exiting the Ajman International Airport to go to Ajman itself.


== Airlines and Destinations ==


=== Passengers ===
After its opening in 2021, when passengers are able to fly, Ajman International Airport, is set to cater to a minimum of one million passengers per annum and is estimated to rise up to 10.4 million by 2046. This airport is set to be driven largely by low cost carrier (LCC) and cargo operations in the first initial phase of its opening, the new airport is projected to achieve a significant amount of international passenger traffic over five years of it opening. However, 70% of its air traffic is set to come from low cost carriers (LCC) and 30% from regional flights. Although Ajman International Airport is set to cater to this large amount, it is not set to be equal to the measure of airports of other larger emirates such as Abu Dhabi and Dubai, specifically in passenger transportation.


=== Cargo ===
After the opening of the airport, Ajman International Airport intends on beginning its processes and functions with cargo. This allows for the airport to further assess efficiency of the airport's functionality and make improvements fit for passengers to begin travel. Ajman International Airport will accommodate a minimum of 400,000 tonnes of cargo. Due to the emirate's smaller size in terms of area and population, the airport is set to also be smaller than that of neighbouring emirates such as Dubai International Airport and Sharjah International Airport. Therefore, cargo and airport maintenance are set to make up most of the airport's business. This further facilitates trade to occur within the United Arab Emirates and boost the economy by adding additional trading ports, specifically, the Ajman International Airport.


== Access ==
Due to the surrounding construction of residential units to occur around the Ajman International Airport, the commute is set to be quick for locals living in the surrounding area. However, this may be difficult for locals living in Ajman City as the airport construction site is 60 km away from the main city. Due to the minimal public transport available in Ajman, the airport will be accessible mainly by private cars and taxis, specifically for those living in the city. Currently, due to the lack of air transportation in existence in Ajman, residents are required to travel to Sharjah airport, one hour away or Dubai airport, one and a half hours away via a car or one bus from Ajman to Dubai which runs hourly. Ajman is only 12 km from Sharjah Airport which is the major base for Air Arabia from where approximately 19 airlines operated more than 35,000 scheduled flights in 2017. The current large air transportation hub of Dubai International Airport is a further 15 km away with one of the world's largest passenger air transportation, approximately 81 scheduled passenger airlines and 199,000 flights in 2017.


== Future Expansions and Plans ==

A feasibility study was conducted by ICTS Europe, an aviation specialist and Booz Allen Hamilton (BAH), an international consultancy firm. According to His Highness Shaikh Humaid Bun Rashid Al Nuaimi, member of the Supreme Council and Ruler of the emirate of Ajman, after reviewing the feasibility study, claims the new airport construction project aims to meet the growing demand for aviation infrastructure in the United Arab Emirates. As the Ajman International airport brings more people into this emirate and boosts tourism as well as occupancy of resorts, further expansions and developments of the area will occur. Although this airport does not aim to compete with other larger airports in the country, it aims to further contribute to tourism revenue with a considerable number of hotels also growing in recent years. Tourism in Ajman has been undergoing rapid growth after recovering from the financial crisis in 2007-2008. Popular attractions and locations for tourists, facilitating this rapid growth, include the Ajman National Museum located at Ajman Fort, the Red fort and the museum in the inland enclave of Manama, near where the construction site of the new airport is situated. Ajman's corniche is also a popular tourist destination for families, contributing to this rapid tourism growth, featuring a number of fast food retailers, coffee shops and stalls. Expatriates of Ajman often venture to the ‘Outside Inn,’ a popular watering hole which also possesses a number of hotels such as Ramada, Ajman Palace, the Kempinski the Ajman Saray and the Fairmont Ajman which further boosts economic upturn from tourism in Ajman.This airport will be open for big businesses and allows to provide more income for the emirate. This airport is estimated to create over 28,000 new jobs such as border security, taxi drivers, retailers, flight attendants, builders and pilots. The United Arab Emirates plans to invest $USD136 billion in aviation infrastructure in the next 10 years and has an estimate of 15 million to tourists by 2020. Taking into consideration this growth in tourism, this airport construction project, aims to expand and open more hotels, restaurants, commercial offices, residential units, retailers, educational centres and exhibition halls. The additional construction projects to come in response to the Ajman International Airport are further set to boost the overall economy for the emirate alongside the airport.


== References ==


== External links ==
http://www.arabianbusiness.com/ajman-crown-prince-approves-571m-airport-plans-564682.html
http://www.dubaifaqs.com/ajman-airport.php
http://www.thenational.ae/uae/transport/residents-and-businesses-welcome-plans-for-airport-in-ajman
http://www.constructionweekonline.com/projects-162-ajman_international_airport/
http://meconstructionnews.com/8944/top-10-gulf-airport-projects
http://gulfnews.com/business/aviation/ajman-builds-new-airport-and-two-ports-1.1338993
",0
4,"Kapla is a construction set for children and adults. The sets consist only of identical wood planks measuring 11.7 cm x 2.34 cm x 0.78 cm. This 15:3:1 ratio of length:width:thickness is different than the dimensions used for traditionally proportioned building blocks (such as unit blocks), and are used for building features such as lintels, roofs and floors. They are known for their stability in the absence of fastening devices.


== Name origin ==

""KAPLA"" is an abbreviated form of the Dutch phrase ""kabouter plankjes,"" which means ""Gnome Planks.""


== History ==
KAPLA was invented in 1987 by Dutchman Tom van der Bruggen. A student of art history, Van der Bruggen had hopes of building a castle from an early age. Inspired by an old abandoned farm on the river Tarn in the South of France, Van der Bruggen converted the farm into his dream castle, complete with carriage entrance, fountains, and towers. To help him visualize the finished construction of his castle, Tom van der Bruggen used wooden blocks, but soon realized that they would not be suitable for certain aspects of the construction, such as the lintels, roofs and floors.


== Assembly ==
KAPLA requires no glue, screws or clips to fix the planks. Each plank is placed one on top of the other, and held in place by weight and balance alone. 
There are 3 possible ways to use Kapla planks:

Flat
On the side
Standing up (vertically)Also, similar KAPLA constructions can create different assemblages:

Piled up as bricks: embedding
Piled up as spiral stairs: stackingKAPLA is intended for children to safely build, create and experiment by using their imagination.


== Varieties ==
KAPLA bricks are made of pine wood and are available in many different colors. They are sold in sets ranging in size from 40 to 1000 pieces.


== Construction and art ==
KAPLA has created four educational art books, intended to inspire children who use their products. 
They are meant to encourage the use of geometry, physics and technology, while exposing children to the world of art, forms and volumes. 
The books are also created with the intention to help children in understanding the unique and demanding nature of construction. 


== References ==


== External links ==
Official website
Kapla on KRO Brandpunt (broadcast 19 February 2012) (in Dutch)
",4
5,"Akmal Ikramovich Ikramov (Russia: Акмаль Икрамович Икрамов; Uzbek: Akmal Ikromovich Ikromov; 1898 – 13 March 1938) was an Uzbek politician active in Uzbek SSR politics and served as the First Secretary of the Central Committee of the Communist Party of Uzbekistan from 1929 to 1937. He was arrested and executed in 1938 as part of te Great Purge during the Stalin period.


== Life ==


=== Career ===
Ikramov was born in 1898 in an Uzbek family in Tashkent, then part of the Russian Empire. In 1918 he joined the Communist Party. From 1921 to 1922 he was secretary of the Central Committee of the Communist Party of Turkestan. In 1922 he moved to Moscow where he studied at the Sverdlov Communist University. While in Moscow, Ikramov kept on campaigning within the Party for raising the cultural level of Turkestan by increasing literacy and building more schools. Meanwhile, Ikramov became involved in a power struggle among the Communists between those favoring a Pan-Turkist government like Turar Ryskulov, and those in favor of dividing the Turkestan Autonomous Soviet Socialist Republic into smaller ethnic or regional units, such as Fayzulla Khodzhayev and Ikramov. The latter group won, as national delimitation in Central Asia began in 1924. In January 1925 he became secretary of the Tashkent Oblast committee in the newly formed Uzbek Soviet Socialist Republic and was also for a time active as chief editor of the magazine Communist. In 1929, he became First Secretary of the Communist Party of Uzbekistan and thus de facto head of government in Soviet Uzbekistan. He was the first ethnic Uzbek in this office, which he held until 1937. In 1930 his predecessor Isaak Zelensky tried to depose him, but since the Central Committee supported Ikramov, this attempt failed. Ikramov led the forced introduction of collectivised agriculture in Uzbekistan, in line with the policy set in Moscow by Joseph Stalin, and implemented a decision to make Uzbekistan the main source of cotton in the USSR. In 1934, he was elected to the Central Committee of the Communist Party of the Soviet Union, the only representative of any of the ethnic Asian minorities.


=== Anti-religious policies ===
Ikramov bore the most responsibility for designing the specifics of the design of anti-Islamic actions during the first five-year plan. Sometimes he personally ordered the arrest of clergymen. Further measures to struggle against the clergy were taken, as Ikramov put it, ""not by prohibitive measures, but by measures developed from broad party-organizational and cultural enlightenment work.""


=== Great Purge ===
In February 1937, near the start of the Great Purge, Ikramov took part in a plenum of the Central Committee which determined the fate of two leading Bolsheviks, Nikolai Bukharin and Alexei Rykov, who had led the opposition to forced collectivisation. He denounced them as ""renegades"", accused them of leading an ""uprising against the party, against soviet power"" and called for them to be put on trial. In June, after he had returned to Uzbekistan's capital, Tashkent, his rival, Khodzhayev, was denounced, sacked, and later arrested.  Yet, despite these displays of severity and loyalty to Stalin, Ikramov was publicly censured on 8 September 1937, after the Politburo member Andrey Andreyev had descended on Tashkent, for being sufficiently vigilant in rooting out 'enemies of the people'. On 10 September, he was violently denounced in Pravda for defending a 'Trotskyite' Secretary of the Uzbekistan Central Committee. On 12 September, it was announced that he had been expelled from the party and was under investigation. In October, news broke that he was arrested, together with Khodzhayev.In March 1938, Ikramov was a defendant in the last of the great Moscow show trials, alongside Bukharin and Rykov, whom he had denounced as renegades a year earlier, and his old rivals Zelensky and Khodzhayev. He 'confessed' to having been a Trotskyite since 1923, a leader since 1928 of a secret nationalist movement plotting independence for Uzbekistan, and to having been recruited by Bukharin to the 'right opposition' in 1933. He also 'confessed' that the waste that resulted from over ambitious targets for cotton production and uncompleted construction work had been deliberate sabotage, and that he was a British spy. Ikramov was quoted saying: ""We had to rely on a strong European Power to help us. We thought England most reliable because she is so strong."" He was sentenced to death on 13 March and shot on 13 March (other sources indicate 15 March) 1938.


=== Rehabilitation ===

During the Khrushchev Thaw, Ikramov's son Kamal requested that the first secretary of Uzbekistan rehabilitate his father. The secretary brought the case to Nikita Khrushchev personally, who then asked Vyacheslav Molotov to look at it. After a year, in 1957, Akmal Ikramov was reinstated in the Party, although the document reinstating him was classified as ""Confidential"". He was first defendant form any the Stalinist show trials to be rehabilitated.


== References ==


== Sources ==
Ikramov, Akmal’ Ikramovich article from The Great Soviet Encyclopedia, 3rd Edition (1970-1979).
To Moscow, Not Mecca: The Soviet Campaign Against Islam in Central Asia; 1917-1941 By Shoshana Keller; Greenwood Publishing Group, 2001
",10
6,"The Alabama Gang was the nickname for a group of NASCAR drivers (and subsequently their offspring) who set up shop and operated out of Hueytown, Alabama (near Birmingham, Alabama).  In the late 1950s, young auto racer Bobby Allison left Miami, Florida, looking for an area that had more opportunities to race. He discovered central Alabama in his travels. The region was dotted with small dirt tracks, and Allison won big his first few times out. He returned to Florida to pick up his brother Donnie Allison, and friend Red Farmer.
The trio set up shop in Hueytown, Alabama, and were dominant throughout the 1960s and early 1970s. In 1973, Jimmy Means joined the gang. Beginning in 1979, their sons and contemporaries began racing, and became known as members of the Alabama Gang themselves. Bobby's son Davey Allison, and fellow Hueytown residents Neil Bonnett, and David Bonnett.  Donnie's daughter Pam married Hut Stricklin, who joined this generation.
Other drivers (notably Dale Earnhardt) were great friends with members of this group, and while not Alabama residents, these other drivers became associated with the Alabama Gang.All of the original members of the Alabama Gang have been inducted into the International Motorsports Hall of Fame. Davey Allison's little brother, Clifford Allison, followed the Alabama Gang tradition, but while practicing for a Busch Series race at Michigan International Speedway in 1992, he spun out in turn 4 and was killed. Davey Allison died in a helicopter crash at Talladega Superspeedway in 1993 while flying to observe a practice session for David Bonnett (Neil's son). Then Neil Bonnett died while practicing for the 1994 Daytona 500. Bobby Allison retired in 1988 after suffering injuries in a race at the Miller High Life 500 in June 1988 at Pocono Raceway that nearly cost him his life, but returned in 1993 to race in a Jaguar as part of ESPN's ""Fast Masters"" held at Lucas Oil Raceway. Farmer, the oldest member of the ""Gang,"" was injured in the helicopter crash that took Davey Allison's life, but recovered and still continues to race at short tracks, well into his 80s.
In February 1988, two Gang members Neil Bonnett and Bobby Allison traveled to Melbourne, Australia for the first ever NASCAR race held outside of North America held at the Calder Park Thunderdome. Bonnett and Allison qualified on the front row and dominated the 280 lap race known as the Goodyear NASCAR 500. Bonnett won the race by just 0.86 seconds from Allison.The third generation of the Alabama Gang has continued the legacy.  Donnie's grandsons Taylor Stricklin (son of Pam) and ARCA driver Justin Allison (son of Kenny) have scored wins with Justin Allison winning the ARCA ModSpace 125 at Pocono Raceway and Taylor winning a Limited Late Model title at Hickory Motor Speedway.  Neil's grandson Justin Bonnett (son of David) has also raced Late Models and Modifieds in the Alabama and Florida panhandle region.
Hueytown memorialized the racers by renaming its main street Allison-Bonnett Memorial Drive. There are other tributes to the ""Gang"" around the city. Other streets bear names of the members, including Davey Allison Boulevard and Red Farmer Drive, and certain local businesses also have paid tribute to the famous drivers. A Honda automobile dealership located in Hueytown was named Neil Bonnett Honda for many years, but it was renamed Serra Honda in 2006. Additionally, the Seal of the City of Hueytown features two checkered flags, acknowledging the large part racing has played in the city's history. On April 30, 2014, Talladega Superspeedway renamed the back straightaway The Alabama Gang Superstretch.


== References ==
",12
7,"Lori Lemaris is a fictional mermaid in DC Comics, and a romantic interest for Superman. She is from Tritonis, a city in the undersea lost continent of Atlantis, and first appeared in Superman #129. She was created by Bill Finger and Wayne Boring. Lori is one of several Superman characters with the alliterative initials ""LL"", including Lois Lane, Lex Luthor, Lana Lang, Lyla Lerrol and Lucy Lane.


== Fictional character biography ==


=== Silver Age ===
Lori was first introduced in the story ""The Girl in Superman's Past"" in Superman #129 (May 1959). The story revealed that while attending Metropolis University, Clark met Lori, who was attending as a student and hiding her mermaid identity by posing as a wheelchair-using student with a blanket covering the lower half of her body. Clark and Lori soon fell in love with each other, but Clark started to wonder why Lori would repeatedly cut their dates short every night to return home at 8 PM. Clark eventually decided to propose marriage to Lori, but Lori told Clark that she couldn't marry him, and that she also had to return to her native country. Heartbroken, and growing suspicious of why Lori had to return home every night at a preset time, Clark investigated, and discovered Lori's mermaid secret when he saw the tank of water in her room. Lori, in turn, revealed that thanks to her people's telepathic powers, she knew that he was really Superman all along, but promised to keep the knowledge of his identity a secret. Lori also stated that since the two came from such different worlds, they could never be wed. After a parting kiss underwater, the two bid farewell to each other.Lori made various appearances throughout the Silver Age Superman comics. Like many other minor DC characters, Lori was killed in the 1985 limited series Crisis on Infinite Earths.


=== Modern Age ===
Lori was soon brought back in a new incarnation after John Byrne's 1986 Man of Steel limited series, which revised Superman's origins. Her post-Crisis incarnation first appeared in Superman (vol. 2) #12 in December 1987. Lori's post-Crisis origin story and her relationship with Clark remained similar to the original, except that post-Crisis, Clark had not yet adopted a superheroic identity at the time he was in college. Additionally, in the modern version, Lori also had a mission to discover other cities of the continent of Atlantis, a quest completed when Superman later met Aquaman, who revealed he was a native of just such a city.In Lori's appearances in the mid-to-late 1990s, Lori had been magically altered so that she would be human when dry and a mermaid when wet, much like Madison, Daryl Hannah's character in the 1984 movie Splash. Lois Lane agreed to let her stay at her apartment for a while during a trip to Metropolis; however, Lori being an old flame of Clark's put a brief strain on Lois and Clark's relationship, though things were soon straightened out. Lori remained a recurring character through the rest of the 1990s. At one point she was accused of being a black market smuggler of underground artifacts and confronted by Daily Planet reporter Steve Lombard and a camera crew. To escape, she dove off a bridge and swam away. Not understanding her nature, Steve and the crew believed she committed suicide to escape the criminal charges leveled against her.Lemaris made an appearance in Justice Leagues, a Justice League of America comic event in 2001 involving her native Atlantis. In human form, her feet do not touch the ground, instead floating about an inch above it.
Lori was thought to be killed in the 2005-2006 Infinite Crisis limited series when the out-of-control, magic-hating Spectre destroyed the kingdom of Atlantis. She appeared again after the Crisis' reality-altering events in a flashback story shown in 2007's Superman Confidential #6-7.


== Other versions ==


=== Joker's Wild ===
In the Tangent Comics series Joker's Wild, a human reporter named Lori Lemaris is one of three heroines masquerading as a heroic version of Joker. After one of her comrades dies in action, Lori refuses to wear the Joker outfit anymore, instead wearing the recently deceased Manhunter's costume. She also appears in the Tangent: Superman's Reign series (March 2008).


=== Superman: Year One ===
Lori appears in the second issue of Frank Miller's Superman: Year One limited series, which presents a new take on Superman's origins.


== In other media ==


=== Television ===
Lori makes a cameo appearance in the Young Justice episode ""Downtime"" voiced by an uncredited Kath Soucie. This version is only a teenager and has no apparent connection to Superman, who is already an adult. She is shown alongside La'gann/Lagoon Boy, Tula/Aquagirl, and Garth/Tempest as one of the students attending an Atlantean sorcery conservatory.


== References ==


== External links ==
Biography about the Silver Age Lori Lemaris
Biography about the modern Lori Lemaris
Supermanica: Lori Lemaris Supermanica entry on the pre-Crisis Lori Lemaris.
",6
8,"Pasties (singular pasty or pastie) are patches that cover a person's nipples and areolae, typically affixed with adhesive. Though pasties are commonly associated with strippers, burlesque shows and erotic entertainment, they are also, at times, worn as an undergarment, beachwear, or as a form of protest during women's rights events such as Go Topless Day that may avoid potential prosecution under indecency laws.


== Design ==

Pasties come in a variety of colors, shapes, and sizes, typically  not much larger than the areola. Pasties are usually applied with a special tape or glue fixative, often gum arabic.  However, in some situations keeping pasties from falling off can be an issue, as can be their removal. Some people are allergic to some adhesives or pastie material. Due to this, most high quality pasties are made of hypoallergenic silicone and use special adhesives to reduce the chances of an allergic reaction. Some pasties are for single-use, while others are washable and can be reused.
Pasties are sometimes worn with a sideless bikini bottom such as a C-string held by an internal flexible frame. Alternatively a vulva cover, commonly known as a merkin pastie, can be attached with adhesive. These pasties for the genitalia are known as maebari in Japanese.


== Entertainment ==
Pasties emerged in burlesque and striptease in the 1920s as a way to avoid breaking the law by performing topless or nude. Pasties came to be regarded by some as more aesthetic and erotic. They were worn in cabarets such as the  Folies Bergère and  Le Lido. Burlesque performer Carrie Finnell is attributed with adding tassels which hang from the center and incorporating tassel twirling as part of a performance.In parts of the United States, erotic dancers wear pasties in strip clubs to avoid prosecution under local public indecency laws. In extreme cases, liquid latex pasties are used to comply with local laws, raising criticism by strippers that lawmakers are engaging in cruelty by requiring use of adhesive material on the nipple. Such restrictions generally applied in Chicago until Chicago City Council changed the city's liquor license statutes in 2020, removing references to gender. Women working in the city's topless-only restaurants and strip clubs are no longer required to affix pasties or use other latex coverings on their breasts.Pasties are worn by many neo-burlesque performers and are also found in night clubs, fetish parties and parades, such as pride parades.
Pasties were and may still be worn by some actresses while filming an otherwise apparently topless or nude scene, which is not caught by the camera angle.


== Underwear ==
Some who choose to go braless (often the most practical choice with a strapless or backless dress) may wear pasties, so that their nipples and areolae are not visible through sheer clothing or lingerie, or in case they experience a nipple erection. 
Some people wear pasties to avoid fissure of the nipple (colloquially known as ""runner's nipple""), irritation caused by chafing by fabric such as a Tshirt. When worn under clothing pasties are sometimes called breast petals or nipple covers.


== Swimwear ==
Pasties are occasionally worn on beaches to maximize a sun tan, short of being topless or nude, and avoid the strap lines which bikinis produce. Swimwear named strapless bikini (not to be confused with bandeau bikini tops) or no-string bikini is a combination of pasties with a matching maebari-style bottom.


== Athletes ==
Runners, surfers, and other outdoor athletes may notice fissure of the nipple; ways to avoid or mitigate this irritation include nipple guards, which cover the nipple and prevent friction with clothing. 


== Gallery ==

		
		
		
		
		


== See also ==

Topfreedom
Nipple shield (jewelry)
Nipple shield (breastfeeding)
Merkin


== References ==


== External links ==
 Media related to Pasties (clothing) at Wikimedia Commons
",8
